0.16979592,0.3,73.6
0.841723392,1.1,67.7
1.387845824,1.2,82.8
1.671836736,1.3,85.9
2.043333336,2.1,82.4
2.468548704,2.2,76.3
2.908299328,2.3,78.6
3.297233568,3.1,73.1
3.604897984,3.2,84
3.895147392,3.3,84.9
4.255056688,4.1,83.3
4.630181376,4.2,82.3
5.120000008,4.3,83.2
5.492222208,5.1,83.3
5.812222208,5.2,85.6
6.27589568,5.3,84.4
6.615510208,6.1,85.7
6.965986432,6.2,78.2
7.337483008,6.3,80
7.738049856,7.1,78
8.132789112,7.2,77.1
8.637800448,7.3,76
9.009319728,8.1,76.6
9.473741504,8.2,70.9
10.03102041,8.3,71.1
10.68115642,9.1,65.9
11.14555555,9.2,75.4
11.5526304,9.3,77.2
11.95752832,10.1,76.6
12.29712016,10.2,75.5
12.81739226,10.3,79.5
13.13306123,11.1,73.3
13.45303853,11.2,83.7
13.77959187,11.3,84.6
14.09956917,12.1,87
14.45875283,12.2,83.4
14.84408166,12.3,86.5
15.32514739,13.1,78.8
15.69668934,13.2,86
16.06818594,13.3,84.1
16.4397279,14.1,80.4
16.81124717,14.2,81.1
17.27562358,14.3,79.4
17.74004538,15.1,73.7
18.29732429,15.2,76
18.82122451,15.3,68.6
19.50476195,16.1,71.9
20.24777776,16.2,72
